ruta,origen,destino,fecha_salida,fecha_vuelta,precio_gol,precio_aerolineas,mejor_precio,mejor_sitio,ultima_actualizacion
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,28/02/2027,10/03/2027,"R$ 3.092,00","R$ 3.233,00","R$ 3.092,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires - Brasília,EZE,BSB,18/12/2026,28/12/2026,"R$ 1.437,00",,"R$ 1.437,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,19/12/2026,29/12/2026,"R$ 1.525,00",,"R$ 1.525,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,20/12/2026,30/12/2026,"R$ 1.525,00",,"R$ 1.525,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,21/12/2026,31/12/2026,"R$ 1.525,00",,"R$ 1.525,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,22/12/2026,01/01/2027,"R$ 3.350,00",,"R$ 3.350,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,23/12/2026,02/01/2027,"R$ 3.922,00",,"R$ 3.922,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,24/12/2026,03/01/2027,"R$ 4.372,00",,"R$ 4.372,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,25/12/2026,04/01/2027,"R$ 5.128,00",,"R$ 5.128,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,26/12/2026,05/01/2027,"R$ 3.557,00",,"R$ 3.557,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,27/12/2026,06/01/2027,"R$ 5.476,00",,"R$ 5.476,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,28/12/2026,07/01/2027,"R$ 4.356,00",,"R$ 4.356,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,29/12/2026,08/01/2027,"R$ 4.356,00",,"R$ 4.356,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,30/12/2026,09/01/2027,"R$ 4.854,00",,"R$ 4.854,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,31/12/2026,10/01/2027,"R$ 4.516,00",,"R$ 4.516,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,01/01/2027,11/01/2027,"R$ 3.650,00","R$ 2.302,00","R$ 2.302,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,02/01/2027,12/01/2027,"R$ 4.099,00","R$ 3.135,00","R$ 3.135,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,03/01/2027,13/01/2027,"R$ 4.671,00","R$ 2.979,00","R$ 2.979,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,04/01/2027,14/01/2027,"R$ 4.384,00","R$ 2.369,00","R$ 2.369,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,05/01/2027,15/01/2027,"R$ 3.941,00","R$ 2.369,00","R$ 2.369,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,06/01/2027,16/01/2027,"R$ 4.199,00","R$ 3.969,00","R$ 3.969,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,07/01/2027,17/01/2027,"R$ 3.772,00","R$ 4.635,00","R$ 3.772,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,08/01/2027,18/01/2027,"R$ 3.613,00","R$ 3.860,00","R$ 3.613,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,09/01/2027,19/01/2027,"R$ 3.435,00","R$ 4.670,00","R$ 3.435,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,10/01/2027,20/01/2027,"R$ 3.894,00","R$ 4.337,00","R$ 3.894,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,11/01/2027,21/01/2027,"R$ 3.350,00","R$ 3.860,00","R$ 3.350,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,12/01/2027,22/01/2027,"R$ 3.595,00","R$ 3.860,00","R$ 3.595,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,13/01/2027,23/01/2027,"R$ 3.472,00","R$ 3.860,00","R$ 3.472,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,14/01/2027,24/01/2027,"R$ 3.350,00","R$ 3.860,00","R$ 3.350,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,15/01/2027,25/01/2027,"R$ 3.590,00","R$ 4.060,00","R$ 3.590,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,16/01/2027,26/01/2027,"R$ 3.333,00","R$ 3.860,00","R$ 3.333,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,17/01/2027,27/01/2027,"R$ 3.350,00","R$ 3.860,00","R$ 3.350,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,18/01/2027,28/01/2027,"R$ 3.314,00","R$ 3.729,00","R$ 3.314,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,19/01/2027,29/01/2027,"R$ 3.103,00","R$ 3.860,00","R$ 3.103,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,20/01/2027,30/01/2027,"R$ 3.490,00","R$ 3.721,00","R$ 3.490,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,21/01/2027,31/01/2027,"R$ 2.962,00","R$ 3.572,00","R$ 2.962,00",gol,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,22/01/2027,01/02/2027,"R$ 3.085,00","R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,23/01/2027,02/02/2027,"R$ 2.962,00","R$ 2.169,00","R$ 2.169,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,24/01/2027,03/02/2027,"R$ 4.216,00","R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,25/01/2027,04/02/2027,"R$ 4.111,00","R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,26/01/2027,05/02/2027,"R$ 4.216,00","R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,27/01/2027,06/02/2027,"R$ 4.215,00","R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,28/01/2027,07/02/2027,"R$ 3.418,00","R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,29/01/2027,08/02/2027,"R$ 4.128,00","R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,30/01/2027,09/02/2027,"R$ 4.234,00","R$ 2.025,00","R$ 2.025,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,31/01/2027,10/02/2027,"R$ 4.128,00","R$ 2.164,00","R$ 2.164,00",aerolineas,"21/08/2026, 12:49 p. m."
Buenos Aires - Brasília,EZE,BSB,01/02/2027,11/02/2027,"R$ 4.111,00","R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,02/02/2027,12/02/2027,"R$ 3.384,00","R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,03/02/2027,13/02/2027,"R$ 4.127,00","R$ 2.164,00","R$ 2.164,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,04/02/2027,14/02/2027,"R$ 4.444,00","R$ 2.025,00","R$ 2.025,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,05/02/2027,15/02/2027,"R$ 4.357,00","R$ 2.025,00","R$ 2.025,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,06/02/2027,16/02/2027,"R$ 4.356,00","R$ 3.838,00","R$ 3.838,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,07/02/2027,17/02/2027,"R$ 3.540,00","R$ 3.676,00","R$ 3.540,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,08/02/2027,18/02/2027,"R$ 4.461,00","R$ 3.711,00","R$ 3.711,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,09/02/2027,19/02/2027,"R$ 4.128,00","R$ 3.572,00","R$ 3.572,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,10/02/2027,20/02/2027,"R$ 4.216,00","R$ 3.724,00","R$ 3.724,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,11/02/2027,21/02/2027,"R$ 4.199,00","R$ 3.538,00","R$ 3.538,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,12/02/2027,22/02/2027,"R$ 3.384,00","R$ 3.568,00","R$ 3.384,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,13/02/2027,23/02/2027,"R$ 2.873,00","R$ 3.677,00","R$ 2.873,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,14/02/2027,24/02/2027,"R$ 3.207,00","R$ 3.678,00","R$ 3.207,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,15/02/2027,25/02/2027,"R$ 3.103,00","R$ 3.452,00","R$ 3.103,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,16/02/2027,26/02/2027,"R$ 3.103,00","R$ 3.416,00","R$ 3.103,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,17/02/2027,27/02/2027,"R$ 3.206,00","R$ 3.433,00","R$ 3.206,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,18/02/2027,28/02/2027,"R$ 3.207,00","R$ 3.416,00","R$ 3.207,00",gol,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,19/02/2027,01/03/2027,"R$ 3.085,00","R$ 1.747,00","R$ 1.747,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,20/02/2027,02/03/2027,"R$ 2.962,00","R$ 1.869,00","R$ 1.869,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,21/02/2027,03/03/2027,"R$ 2.962,00","R$ 1.747,00","R$ 1.747,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,22/02/2027,04/03/2027,"R$ 2.874,00","R$ 1.747,00","R$ 1.747,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,23/02/2027,05/03/2027,"R$ 2.874,00","R$ 1.747,00","R$ 1.747,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,24/02/2027,06/03/2027,"R$ 2.873,00","R$ 1.747,00","R$ 1.747,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,25/02/2027,07/03/2027,"R$ 2.874,00","R$ 1.869,00","R$ 1.869,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,26/02/2027,08/03/2027,"R$ 2.874,00","R$ 1.747,00","R$ 1.747,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,27/02/2027,09/03/2027,"R$ 2.873,00","R$ 1.747,00","R$ 1.747,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Brasília,EZE,BSB,28/02/2027,10/03/2027,"R$ 2.874,00","R$ 1.747,00","R$ 1.747,00",aerolineas,"21/08/2026, 11:35 a. m."
Buenos Aires - Goiânia,EZE,GYN,18/12/2026,28/12/2026,"R$ 4.185,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,19/12/2026,29/12/2026,"R$ 4.185,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,20/12/2026,30/12/2026,"R$ 4.860,00","R$ 3.649,00","R$ 3.649,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,21/12/2026,31/12/2026,"R$ 4.511,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,22/12/2026,01/01/2027,"R$ 4.028,00","R$ 3.609,00","R$ 3.609,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,23/12/2026,02/01/2027,"R$ 4.207,00","R$ 3.620,00","R$ 3.620,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,24/12/2026,03/01/2027,"R$ 4.694,00","R$ 3.793,00","R$ 3.793,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,25/12/2026,04/01/2027,"R$ 5.156,00","R$ 3.654,00","R$ 3.654,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,26/12/2026,05/01/2027,"R$ 4.203,00","R$ 3.998,00","R$ 3.998,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,27/12/2026,06/01/2027,"R$ 5.343,00","R$ 4.076,00","R$ 4.076,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,28/12/2026,07/01/2027,"R$ 4.529,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,29/12/2026,08/01/2027,"R$ 4.529,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,30/12/2026,09/01/2027,"R$ 4.878,00","R$ 4.752,00","R$ 4.752,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,31/12/2026,10/01/2027,"R$ 4.883,00","R$ 4.886,00","R$ 4.883,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,01/01/2027,11/01/2027,"R$ 4.372,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,02/01/2027,12/01/2027,"R$ 4.551,00","R$ 4.764,00","R$ 4.551,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,03/01/2027,13/01/2027,"R$ 5.066,00","R$ 4.753,00","R$ 4.753,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,04/01/2027,14/01/2027,"R$ 4.673,00","R$ 3.998,00","R$ 3.998,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,05/01/2027,15/01/2027,"R$ 4.207,00","R$ 3.998,00","R$ 3.998,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,06/01/2027,16/01/2027,"R$ 4.672,00","R$ 3.892,00","R$ 3.892,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,07/01/2027,17/01/2027,"R$ 4.372,00","R$ 4.835,00","R$ 4.372,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,08/01/2027,18/01/2027,"R$ 4.046,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,09/01/2027,19/01/2027,"R$ 3.720,00","R$ 4.608,00","R$ 3.720,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,10/01/2027,20/01/2027,"R$ 4.428,00","R$ 3.998,00","R$ 3.998,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,11/01/2027,21/01/2027,"R$ 4.028,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,12/01/2027,22/01/2027,"R$ 4.028,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,13/01/2027,23/01/2027,"R$ 4.056,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,14/01/2027,24/01/2027,"R$ 4.028,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,15/01/2027,25/01/2027,"R$ 4.189,00","R$ 3.998,00","R$ 3.998,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,16/01/2027,26/01/2027,"R$ 4.189,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,17/01/2027,27/01/2027,"R$ 4.028,00","R$ 3.798,00","R$ 3.798,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,18/01/2027,28/01/2027,"R$ 3.702,00","R$ 3.798,00","R$ 3.702,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,19/01/2027,29/01/2027,"R$ 3.408,00","R$ 4.075,00","R$ 3.408,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,20/01/2027,30/01/2027,"R$ 4.056,00","R$ 3.937,00","R$ 3.937,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,21/01/2027,31/01/2027,"R$ 3.684,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,22/01/2027,01/02/2027,"R$ 3.684,00","R$ 3.464,00","R$ 3.464,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,23/01/2027,02/02/2027,"R$ 3.408,00","R$ 3.604,00","R$ 3.408,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,24/01/2027,03/02/2027,"R$ 4.511,00","R$ 3.515,00","R$ 3.515,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,25/01/2027,04/02/2027,"R$ 4.511,00","R$ 3.659,00","R$ 3.659,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,26/01/2027,05/02/2027,"R$ 4.511,00","R$ 3.659,00","R$ 3.659,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,27/01/2027,06/02/2027,"R$ 4.511,00","R$ 3.659,00","R$ 3.659,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,28/01/2027,07/02/2027,"R$ 3.684,00","R$ 3.515,00","R$ 3.515,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,29/01/2027,08/02/2027,"R$ 4.217,00","R$ 3.515,00","R$ 3.515,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,30/01/2027,09/02/2027,"R$ 4.511,00","R$ 3.654,00","R$ 3.654,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,31/01/2027,10/02/2027,"R$ 4.511,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,01/02/2027,11/02/2027,"R$ 4.511,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,02/02/2027,12/02/2027,"R$ 3.780,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,03/02/2027,13/02/2027,"R$ 4.235,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,04/02/2027,14/02/2027,"R$ 4.217,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,05/02/2027,15/02/2027,"R$ 4.235,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,06/02/2027,16/02/2027,"R$ 4.235,00","R$ 3.609,00","R$ 3.609,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,07/02/2027,17/02/2027,"R$ 3.684,00","R$ 3.321,00","R$ 3.321,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,08/02/2027,18/02/2027,"R$ 4.511,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,09/02/2027,19/02/2027,"R$ 4.217,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,10/02/2027,20/02/2027,"R$ 4.511,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,11/02/2027,21/02/2027,"R$ 4.511,00","R$ 3.477,00","R$ 3.477,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,12/02/2027,22/02/2027,"R$ 3.762,00","R$ 3.621,00","R$ 3.621,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,13/02/2027,23/02/2027,"R$ 3.114,00","R$ 3.621,00","R$ 3.114,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,14/02/2027,24/02/2027,"R$ 3.096,00","R$ 3.621,00","R$ 3.096,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,15/02/2027,25/02/2027,"R$ 3.114,00","R$ 3.477,00","R$ 3.114,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,16/02/2027,26/02/2027,"R$ 3.114,00","R$ 3.355,00","R$ 3.114,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,17/02/2027,27/02/2027,"R$ 3.684,00","R$ 3.372,00","R$ 3.372,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,18/02/2027,28/02/2027,"R$ 3.390,00","R$ 3.354,00","R$ 3.354,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,19/02/2027,01/03/2027,"R$ 3.390,00","R$ 3.183,00","R$ 3.183,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,20/02/2027,02/03/2027,"R$ 3.390,00","R$ 3.304,00","R$ 3.304,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,21/02/2027,03/03/2027,"R$ 3.390,00","R$ 3.233,00","R$ 3.233,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,22/02/2027,04/03/2027,"R$ 3.096,00","R$ 3.233,00","R$ 3.096,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,23/02/2027,05/03/2027,"R$ 3.096,00","R$ 3.233,00","R$ 3.096,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,24/02/2027,06/03/2027,"R$ 3.096,00","R$ 3.238,00","R$ 3.096,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,25/02/2027,07/03/2027,"R$ 3.096,00","R$ 3.238,00","R$ 3.096,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,26/02/2027,08/03/2027,"R$ 3.096,00","R$ 3.238,00","R$ 3.096,00",gol,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,27/02/2027,09/03/2027,"R$ 3.390,00","R$ 3.238,00","R$ 3.238,00",aerolineas,"21/08/2026, 12:48 p. m."
Buenos Aires - Goiânia,EZE,GYN,28/02/2027,10/03/2027,"R$ 3.096,00","R$ 3.233,00","R$ 3.096,00",gol,"21/08/2026, 12:48 p. m."
San Luis - Buenos Aires,LUQ,AEP,18/12/2026,28/12/2026,,"R$ 1.491,00","R$ 1.491,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,19/12/2026,29/12/2026,,"R$ 1.216,00","R$ 1.216,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,20/12/2026,30/12/2026,,"R$ 1.376,00","R$ 1.376,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,21/12/2026,31/12/2026,,"R$ 1.285,00","R$ 1.285,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,22/12/2026,01/01/2027,,"R$ 608,00","R$ 608,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,23/12/2026,02/01/2027,,"R$ 608,00","R$ 608,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,24/12/2026,03/01/2027,,"R$ 608,00","R$ 608,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,25/12/2026,04/01/2027,,"R$ 608,00","R$ 608,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,26/12/2026,05/01/2027,,"R$ 768,00","R$ 768,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,27/12/2026,06/01/2027,,"R$ 1.032,00","R$ 1.032,00",aerolineas,"21/08/2026, 10:17 a. m."
San Luis - Buenos Aires,LUQ,AEP,28/12/2026,07/01/2027,,"R$ 768,00","R$ 768,00",aerolineas,"21/08/2026, 10:17 a. m."
