ruta,origen,destino,fecha_salida,fecha_vuelta,precio_gol,precio_aerolineas,mejor_precio,mejor_sitio,ultima_actualizacion
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,18/01/2027,28/01/2027,,"R$ 3.729,00","R$ 3.729,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,19/01/2027,29/01/2027,,"R$ 3.860,00","R$ 3.860,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,20/01/2027,30/01/2027,,"R$ 3.721,00","R$ 3.721,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,21/01/2027,31/01/2027,,"R$ 3.572,00","R$ 3.572,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,22/01/2027,01/02/2027,,"R$ 2.164,00","R$ 2.164,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,23/01/2027,02/02/2027,,"R$ 2.169,00","R$ 2.169,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,24/01/2027,03/02/2027,,"R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,25/01/2027,04/02/2027,,"R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,26/01/2027,05/02/2027,,"R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,27/01/2027,06/02/2027,,"R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,28/01/2027,07/02/2027,,"R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,29/01/2027,08/02/2027,,"R$ 1.886,00","R$ 1.886,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,30/01/2027,09/02/2027,,"R$ 2.025,00","R$ 2.025,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,31/01/2027,10/02/2027,,"R$ 2.164,00","R$ 2.164,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,01/02/2027,11/02/2027,"R$ 1.525,00","R$ 2.164,00","R$ 1.525,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,02/02/2027,12/02/2027,"R$ 1.455,00","R$ 1.886,00","R$ 1.455,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,03/02/2027,13/02/2027,"R$ 1.434,00","R$ 2.164,00","R$ 1.434,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,04/02/2027,14/02/2027,"R$ 2.474,00","R$ 2.025,00","R$ 2.025,00",aerolineas,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,05/02/2027,15/02/2027,"R$ 1.556,00","R$ 2.025,00","R$ 1.556,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,06/02/2027,16/02/2027,"R$ 2.474,00","R$ 3.838,00","R$ 2.474,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,07/02/2027,17/02/2027,"R$ 1.434,00","R$ 3.711,00","R$ 1.434,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,08/02/2027,18/02/2027,"R$ 1.556,00","R$ 3.711,00","R$ 1.556,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,09/02/2027,19/02/2027,"R$ 2.474,00","R$ 3.572,00","R$ 2.474,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,10/02/2027,20/02/2027,"R$ 1.434,00","R$ 3.724,00","R$ 1.434,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,11/02/2027,21/02/2027,"R$ 2.674,00","R$ 3.538,00","R$ 2.674,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,12/02/2027,22/02/2027,"R$ 1.434,00","R$ 3.568,00","R$ 1.434,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,13/02/2027,23/02/2027,"R$ 1.436,00","R$ 3.677,00","R$ 1.436,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,14/02/2027,24/02/2027,"R$ 1.345,00","R$ 3.959,00","R$ 1.345,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,15/02/2027,25/02/2027,"R$ 1.345,00","R$ 3.452,00","R$ 1.345,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,16/02/2027,26/02/2027,"R$ 1.436,00","R$ 3.416,00","R$ 1.436,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,17/02/2027,27/02/2027,"R$ 1.345,00","R$ 3.433,00","R$ 1.345,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,18/02/2027,28/02/2027,"R$ 1.436,00","R$ 3.416,00","R$ 1.436,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,19/02/2027,01/03/2027,"R$ 1.437,00","R$ 1.747,00","R$ 1.437,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,20/02/2027,02/03/2027,"R$ 1.453,00","R$ 1.869,00","R$ 1.453,00",gol,"21/08/2026, 12:51 p. m."
